item_name,item_price,item_year,item_miles,item_make,item_location
1997 Harley-Davidson Heritage softtail Springer,"$14,300.00 ",Year: 1997,"Miles: 29,000",Make: Harley-Davidson,
1969 Honda CB,"$6,000.00 ",Year: 1969,"Miles: 76,044",Make: Honda,
2001 Yamaha Other,"$1,300.00 ",Year: 2001,Miles: 0,Make: Yamaha,
2009 Harley-Davidson FLSTSB - Cross Bones,"$11,999.00 ",Year: 2009,"Miles: 10,815",Make: Harley-Davidson,
1986 Suzuki GSX-R,"$2,605.00 ",Year: 1986,"Miles: 41,000",Make: Suzuki,
1986 Kawasaki Ninja,"$5,000.00 ",Year: 1986,"Miles: 37,800",Make: Kawasaki,
2000 Indian Chief,"$7,000.00 ",Year: 2000,"Miles: 7,240",Make: Indian,
1997 Honda CR80,"$1,525.00 ",Year: 1997,"Miles: 99,999",Make: Honda,
2009 Triumph Speed Triple,"$4,000.00 ",Year: 2009,"Miles: 18,461",Make: Triumph,
2001 American Ironhorse,"$3,651.00 ",Year: 2001,"Miles: 133,889",Make: American Ironhorse,
1990 Honda Gold Wing,$740.00 ,Year: 1990,"Miles: 129,525",Make: Honda,
1957 BMW R-Series,"$30,100.00 ",Year: 1957,Miles: 608,Make: BMW,
1977 Bultaco FRONTERA,"$5,500.00 ",Year: 1977,Miles: 575,Make: Bultaco,
1980 Yamaha XS,"$3,800.00 ",Year: 1980,"Miles: 27,500",Make: Yamaha,
2011 Kawasaki Other,"$3,600.00 ",Year: 2011,Miles: 30,Make: Kawasaki,
1969 Triumph Bonneville,"$11,400.00 ",Year: 1969,"Miles: 11,700",Make: Triumph,
2003 Kawasaki Ninja ZX6R,"$3,000.00 ",Year: 2003,"Miles: 37,209",Make: Kawasaki,
2006 Harley-Davidson Touring,"$16,990.00 ",Year: 2006,"Miles: 19,042",Make: Harley-Davidson,
2012 Honda Gold Wing,"$18,000.00 ",Year: 2012,"Miles: 12,893",Make: Honda,
New Listing1980 Kawasaki Other,"$3,000.00 ",Year: 1980,"Miles: 29,999",Make: Kawasaki,
1968 Harley-Davidson Sportster,"$2,000.00 ",Year: 1968,Miles: 0,Make: Harley-Davidson,
2017 Honda CRF,"$4,300.00 ",Year: 2017,"Miles: 9,133",Make: Honda,
1995 Harley-Davidson Softail,"$5,600.00 ",Year: 1995,"Miles: 17,373",Make: Harley-Davidson,
2016 Honda Shadow,"$5,500.00 ",Year: 2016,"Miles: 5,874",Make: Honda,
1975 Honda CB,"$11,950.00 ",Year: 1975,"Miles: 26,758",Make: Honda,
2004 Honda Shadow VT,$737.00 ,Year: 2004,Miles: 0,Make: Honda,
1973 Honda Other,"$2,950.00 ",Year: 1973,"Miles: 1,876",Make: Honda,
2020 Harley-Davidson Softail Heritage Classic,"$19,486.00 ",Year: 2020,"Miles: 3,834",Make: Harley-Davidson,
1978 Triumph Bonneville 750,"$3,750.00 ",Year: 1978,"Miles: 20,125",Make: Triumph,
2011 BMW R-Series,"$10,950.00 ",Year: 2011,"Miles: 14,460",Make: BMW,
1978 Honda CR,"$1,650.00 ",Year: 1978,"Miles: 10,000",Make: Honda,
1997 Honda CBR1100XX,"$3,975.00 ",Year: 1997,"Miles: 17,071",Make: Honda,
1979 Honda Other,$680.00 ,Year: 1979,"Miles: 10,000",Make: Honda,
1978 Harley-Davidson Sportster,"$2,125.00 ",Year: 1978,"Miles: 15,248",Make: Harley-Davidson,
1979 Harley-Davidson Sportster,"$1,800.00 ",Year: 1979,"Miles: 33,837",Make: Harley-Davidson,
1981 Kawasaki Other,"$6,000.00 ",Year: 1981,"Miles: 3,700",Make: Kawasaki,
1969 Harley-Davidson Sportster,"$3,000.00 ",Year: 1969,"Miles: 66,666",Make: Harley-Davidson,
2012 Kawasaki EX250,"$1,900.00 ",Year: 2012,"Miles: 9,724",Make: Kawasaki,
1997 Yamaha FZR,"$4,900.00 ",Year: 1997,"Miles: 6,055",Make: Yamaha,
2018 Honda Other,"$2,575.00 ",Year: 2018,Miles: 825,Make: Honda,
1971 Suzuki RL 250,$20.00 ,Year: 1971,,Make: Suzuki,
1973 Kawasaki Other,"$4,359.00 ",Year: 1973,"Miles: 6,569",Make: Kawasaki,
1974 Honda CT,"$3,650.00 ",Year: 1974,"Miles: 1,748",Make: Honda,
2007 Honda Goldwing,"$6,700.00 ",Year: 2007,"Miles: 80,280",Make: Honda,
2013 Triumph Thruxton,"$3,299.00 ",Year: 2013,"Miles: 5,115",Make: Triumph,
1972 Honda CT,"$1,010.00 ",Year: 1972,"Miles: 4,800",Make: Honda,
1970 Other Makes,"$2,900.00 ",Year: 1970,Miles: 25,Make: Other Makes,
1967 Honda Other,$601.00 ,Year: 1967,"Miles: 20,000",Make: Honda,
1999 Honda CBR,"$6,500.00 ",Year: 1999,"Miles: 17,000",Make: Honda,
1971 Harley-Davidson Other,"$6,177.00 ",Year: 1971,"Miles: 99,999",Make: Harley-Davidson,
1972 Honda SL350,"$5,495.00 ",Year: 1972,"Miles: 4,365",Make: Honda,
2015 BMW R-Series,"$10,250.00 ",Year: 2015,"Miles: 65,047",Make: BMW,
2001 BMW K-Series,"$10,101.00 ",Year: 2001,"Miles: 43,294",Make: BMW,
1974 Suzuki RM,"$3,000.00 ",Year: 1974,Miles: 10,Make: Suzuki,
1976 Moto Guzzi Moto Guzzi,"$12,500.00 ",Year: 1976,"Miles: 2,500",Make: Moto Guzzi,
2003 Honda Shadow,"$2,311.00 ",Year: 2003,"Miles: 15,262",Make: Honda,
1966 BSA BSA Spitfire Mark II,"$6,967.00 ",Year: 1966,"Miles: 6,430",Make: BSA,
2006 Honda VTX,"$2,875.00 ",Year: 2006,Miles: 629,Make: Honda,
2016 Norton 961 Commando Sport mk ii,"$18,999.00 ",Year: 2016,"Miles: 2,107",Make: Norton,
2013 Honda Gold Wing,"$29,500.00 ",Year: 2013,"Miles: 8,177",Make: Honda,
2019 Harley-Davidson Touring,"$16,600.00 ",Year: 2019,"Miles: 49,014",Make: Harley-Davidson,
2015 Honda CBR,"$1,400.00 ",Year: 2015,"Miles: 13,125",Make: Honda,
2009 Honda DN-01 NSA700A9 Automatic transmission,"$5,900.00 ",Year: 2009,"Miles: 15,110",Make: Honda,
2014 Triumph Street Triple,"$4,000.00 ",Year: 2014,"Miles: 6,254",Make: Triumph,
2018 Aprilia Tuono V-4 1100cc,"$14,200.00 ",Year: 2018,"Miles: 2,000",Make: Aprilia,
1997 Kawasaki KE100 Mini Enduro,"$3,250.00 ",Year: 1997,"Miles: 1,953",Make: Kawasaki,
2003 Harley-Davidson V-Rod 100th Anniversary,"$9,800.00 ",Year: 2003,"Miles: 5,300",Make: Harley-Davidson,
2013 Harley-Davidson Sportster,"$6,295.00 ",Year: 2013,"Miles: 1,935",Make: Harley-Davidson,
1975 Honda CB,"$3,750.00 ",Year: 1975,"Miles: 2,100",Make: Honda,
1974 Honda CT,"$2,750.00 ",Year: 1974,"Miles: 3,225",Make: Honda,
1971 Suzuki TS125,"$1,500.00 ",Year: 1971,"Miles: 2,262",Make: Suzuki,
1957 Harley-Davidson hydraglide,"$29,500.00 ",Year: 1957,Miles: 1,Make: Harley-Davidson,
2022 Kawasaki KLX 300SM,"$5,780.00 ",Year: 2022,Miles: 320,Make: Kawasaki,
2018 Suzuki GSX 250R 250,"$4,099.00 ",Year: 2018,"Miles: 5,631",Make: Suzuki,
2007 Kawasaki Ninja,"$4,495.00 ",Year: 2007,"Miles: 33,875",Make: Kawasaki,
1974 Honda Other,"$4,000.00 ",Year: 1974,"Miles: 5,992",Make: Honda,
1973 Husqvarna,"$6,500.00 ",Year: 1973,Miles: 0,Make: Husqvarna,
1994 Harley-Davidson Roadking,"$19,500.00 ",Year: 1994,Miles: 1,Make: Harley-Davidson,
1965 Honda CL,"$5,101.00 ",Year: 1965,"Miles: 5,964",Make: Honda,
1968 Motobecane 50cc,$475.00 ,Year: 1968,Miles: 472,,
2004 Honda Gold Wing,"$15,500.00 ",Year: 2004,"Miles: 27,704",Make: Honda,
2006 Kawasaki KX,"$2,000.00 ",Year: 2006,Miles: 0,Make: Kawasaki,
1974 Kawasaki H2,"$11,612.00 ",Year: 1974,"Miles: 19,789",Make: Kawasaki,
1974 Honda CB,"$2,850.00 ",Year: 1974,"Miles: 22,730",Make: Honda,
2004 BMW Other,"$8,500.00 ",Year: 2004,"Miles: 18,481",Make: BMW,
2005 Harley-Davidson V-ROD,"$8,350.00 ",Year: 2005,"Miles: 1,192",Make: Harley-Davidson,
2013 Victory,"$8,000.00 ",Year: 2013,"Miles: 6,400",Make: Victory,
2012 BMW F800R,"$6,400.00 ",Year: 2012,"Miles: 9,300",Make: BMW,
2003 BMW K1200RS,"$3,750.00 ",Year: 2003,"Miles: 32,000",Make: BMW,
2014 Harley-Davidson Dyna FXDL LOW RIDER,"$12,999.00 ",Year: 2014,"Miles: 10,312",Make: Harley-Davidson,
1989 Kawasaki GPX750R,"$2,075.00 ",Year: 1989,"Miles: 56,458",Make: Kawasaki,
1964 Triumph Other,"$5,000.00 ",Year: 1964,"Miles: 13,500",Make: Triumph,
1993 Harley-Davidson FXRS-SP Low-Rider,"$7,995.00 ",Year: 1993,"Miles: 27,772",Make: Harley-Davidson,
1979 Honda CX500 Custom,"$3,999.00 ",Year: 1979,"Miles: 16,683",Make: Honda,
1977 Yamaha XT,"$4,750.00 ",Year: 1977,"Miles: 6,013",Make: Yamaha,
2021 X-PRO 125cc Dirt Bike,$869.00 ,Year: 2021,Miles: 0,,
2019 Husqvarna FC450,"$8,650.00 ",Year: 2019,Miles: 52,Make: Husqvarna,
2021 Custom Built Motorcycles Chopper,"$15,000.00 ",Year: 2021,Miles: 100,Make: Custom Built Motorcycles,
2006 Kawasaki Ninja ZX6R,"$3,050.00 ",Year: 2006,"Miles: 10,800",Make: Kawasaki,
1993 Honda Gold Wing,"$2,495.00 ",Year: 1993,"Miles: 114,000",Make: Honda,
1964 Hodaka ACE 90,"$2,850.00 ",Year: 1964,"Miles: 2,060",Make: Hodaka,
1980 Yamaha YZ,"$4,500.00 ",Year: 1980,Miles: 10,Make: Yamaha,
2002 Indian,"$13,500.00 ",Year: 2002,"Miles: 10,367",Make: Indian,
2008 Harley-Davidson Dyna,"$8,500.00 ",Year: 2008,"Miles: 12,380",Make: Harley-Davidson,
1983 Suzuki GS,"$2,900.00 ",Year: 1983,"Miles: 36,000",Make: Suzuki,
2014 Harley-Davidson Softail FLS SLIM,"$13,999.00 ",Year: 2014,"Miles: 13,631",Make: Harley-Davidson,
2006 Other Makes AUTO-GLIDE CLASSIC,"$8,999.00 ",Year: 2006,Miles: 114,Make: Other Makes,
1983 Honda Automatic Hondamatic,"$3,500.00 ",Year: 1983,"Miles: 20,737",Make: Honda,
1975 Harley-Davidson Sportster,"$6,500.00 ",Year: 1975,,Make: Harley-Davidson,
1972 Other Makes,"$3,000.00 ",Year: 1972,Miles: 0,Make: Other Makes,
2020 Yamaha TW200,"$4,600.00 ",Year: 2020,"Miles: 2,600",Make: Yamaha,
1991 Ducati Desmo 907 ie paso,"$3,501.00 ",Year: 1991,"Miles: 58,000",Make: Ducati,
2009 Suzuki Hayabusa,"$9,900.00 ",Year: 2009,"Miles: 6,700",Make: Suzuki,
1983 Honda CB,"$7,900.00 ",Year: 1983,"Miles: 8,848",Make: Honda,
2001 Kawasaki Ninja,"$2,500.00 ",Year: 2001,"Miles: 8,500",Make: Kawasaki,
1998 Harley-Davidson Other,"$6,101.00 ",Year: 1998,"Miles: 14,409",Make: Harley-Davidson,
2015 Other Makes SSR,$620.00 ,Year: 2015,Miles: 40,Make: Other Makes,
1978 Kawasaki KE100,"$2,950.00 ",Year: 1978,,Make: Kawasaki,
2015 Other Makes SSR,$331.66 ,Year: 2015,Miles: 40,Make: Other Makes,
1982 Kawasaki Ninja,"$7,100.00 ",Year: 1982,"Miles: 8,922",Make: Kawasaki,
2003 Ducati Superbike,"$7,000.00 ",Year: 2003,"Miles: 16,500",Make: Ducati,
1974 Honda CB200T,$850.00 ,Year: 1974,"Miles: 1,234",Make: Honda,
2007 Honda CR,"$4,500.00 ",Year: 2007,"Miles: 123,456",Make: Honda,
2002 Yamaha YZF-R,"$2,276.00 ",Year: 2002,"Miles: 12,640",Make: Yamaha,
1982 Kawasaki KZ750N Spectre,"$1,581.00 ",Year: 1982,"Miles: 32,000",Make: Kawasaki,
2003 Kawasaki ZRX,"$3,650.00 ",Year: 2003,"Miles: 21,612",Make: Kawasaki,
2010 Honda Shadow,"$3,250.00 ",Year: 2010,"Miles: 9,920",Make: Honda,
1996 Harley-Davidson Sportster,"$5,999.00 ",Year: 1996,Miles: 999,Make: Harley-Davidson,
1994 Harley-Davidson FLSTF,"$4,204.00 ",Year: 1994,"Miles: 37,435",Make: Harley-Davidson,
1990 Yamaha FJ,"$1,675.00 ",Year: 1990,"Miles: 25,550",Make: Yamaha,
1973 Triumph Bonneville,"$1,675.00 ",Year: 1973,"Miles: 9,999",Make: Triumph,
1983 BMW R-Series,"$7,600.00 ",Year: 1983,Miles: 60,Make: BMW,
2006 Harley-Davidson Softail,"$8,799.00 ",Year: 2006,"Miles: 4,700",Make: Harley-Davidson,
2012 Harley-Davidson Other,"$20,000.00 ",Year: 2012,"Miles: 31,792",Make: Harley-Davidson,
1976 Honda CB,"$4,999.98 ",Year: 1976,"Miles: 9,000",Make: Honda,
2020 Ducati Monster,"$13,000.00 ",Year: 2020,Miles: 311,Make: Ducati,
2006 Kawasaki Ninja,"$3,256.66 ",Year: 2006,"Miles: 19,000",Make: Kawasaki,
1986 Harley-Davidson Touring,"$18,500.00 ",Year: 1986,"Miles: 12,976",Make: Harley-Davidson,
2001 Harley-Davidson Softail,$7.00 ,Year: 2001,"Miles: 18,500",Make: Harley-Davidson,
1971 BSA B50SS,"$2,599.99 ",Year: 1971,"Miles: 4,604",Make: BSA,
1976 Kawasaki KH500,"$4,700.00 ",Year: 1976,"Miles: 5,550",Make: Kawasaki,from Canada
1997 Suzuki RM,"$4,550.00 ",Year: 1997,Miles: 300,Make: Suzuki,
2001 BMW R-Series,"$4,400.00 ",Year: 2001,"Miles: 8,391",Make: BMW,
2019 Suzuki GSX 1300R Hayabusa,"$16,000.00 ",Year: 2019,"Miles: 2,780",Make: Suzuki,
1978 Honda CB,"$1,200.00 ",Year: 1978,"Miles: 11,900",Make: Honda,
1980 Harley-Davidson Other,"$6,999.95 ",Year: 1980,"Miles: 1,560",Make: Harley-Davidson,
2001 Kawasaki Voyager,"$1,101.00 ",Year: 2001,"Miles: 21,009",Make: Kawasaki,
1975 Honda XL125K1,"$2,600.00 ",Year: 1975,"Miles: 3,070",Make: Honda,
2002 BMW R1150RT,"$5,100.01 ",Year: 2002,"Miles: 9,950",Make: BMW,
1975 Yamaha Other,$310.00 ,Year: 1975,,Make: Yamaha,
2002 Yamaha MZ 660 Skorpion Tour,"$1,286.00 ",Year: 2002,"Miles: 18,109",Make: Yamaha,
2018 Can-Am Spyder,"$13,500.00 ",Year: 2018,Miles: 851,Make: Can-Am,
1967 Harley-Davidson FXR,"$4,999.00 ",Year: 1967,"Miles: 30,251",Make: Harley-Davidson,
